"IEA.country.name","Flow","Product","2000"
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Non-metallic minerals","Gas works gas",0.23086871919256
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Non-metallic minerals","Other bituminous coal",0.23086871919256
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Transport equipment","Electricity",0.276452934674586
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Transport equipment","Gas works gas",0.104278847344105
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Machinery","Electricity",0.249519560506763
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Machinery","Gas works gas",0.104278847344105
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Food and tobacco","Electricity",0.334570784315775
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Food and tobacco","Gas works gas",0.210493167294226
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Paper, pulp and printing","Electricity",0.487395277293383
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Paper, pulp and printing","Gas works gas",0.104278847344105
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Wood and wood products","Electricity",0.331250320056005
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Wood and wood products","Gas works gas",0.104278847344105
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Textile and leather","Electricity",0.346415266442254
"South Africa","Total energy supply; Total final consumption; Industry; Manufacturing; Textile and leather","Gas works gas",0.104278847344105
"Ghana","Total energy supply; Total final consumption; Industry; Industry not elsewhere specified","Electricity",0.226331412942725
"Ghana","Total energy supply; Total final consumption; Industry; Industry not elsewhere specified","Liquefied petroleum gases (LPG)",0.058956305571659
"Ghana","Total energy supply; Total final consumption; Industry; Industry not elsewhere specified","Other kerosene",0.0921881280986199
"Ghana","Total energy supply; Total final consumption; Industry; Industry not elsewhere specified","Primary solid biofuels",0.729729282013794
"Ghana","Total energy supply; Total final consumption; Industry; Industry not elsewhere specified","Fuel oil",0.44345
"Ghana","Total energy supply; Total final consumption; Industry; Industry not elsewhere specified","Gas/diesel oil excl. biofuels",0.44345
"South Africa","Total energy supply; Total final consumption; Industry; Industry not elsewhere specified","Electricity",0.226331412942725
"South Africa","Total energy supply; Total final consumption; Industry; Industry not elsewhere specified","Gas works gas",0.104278847344105
"South Africa","Total energy supply; Total final consumption; Industry; Industry not elsewhere specified","Other bituminous coal",0.0985215071129937
"South Africa","Total energy supply; Total final consumption; Industry; Industry not elsewhere specified","Fuel oil",0.44345
"South Africa","Total energy supply; Total final consumption; Industry; Industry not elsewhere specified","Other kerosene",0.0921881280986199
"South Africa","Total energy supply; Total final consumption; Industry; Industry not elsewhere specified","Primary solid biofuels",0.729729282013794
"South Africa","Total energy supply; Total final consumption; Transport; Domestic aviation","Kerosene type jet fuel excl. biofuels",0.205492036881811
"Ghana","Total energy supply; Total final consumption; Transport; Road","Gas/diesel oil excl. biofuels",0.266333954535019
"Ghana","Total energy supply; Total final consumption; Transport; Road","Motor gasoline excl. biofuels",0.175776624071023
"South Africa","Total energy supply; Total final consumption; Transport; Road","Electricity",0.696147893391178
"South Africa","Total energy supply; Total final consumption; Transport; Road","Fuel oil",0.266333954535019
"South Africa","Total energy supply; Total final consumption; Transport; Road","Gas/diesel oil excl. biofuels",0.266333954535019
"South Africa","Total energy supply; Total final consumption; Transport; Road","Motor gasoline excl. biofuels",0.175776624071023
"Ghana","Total energy supply; Total final consumption; Transport; Rail","Gas/diesel oil excl. biofuels",0.345
"South Africa","Total energy supply; Total final consumption; Transport; Rail","Electricity",0.604592592592593
"South Africa","Total energy supply; Total final consumption; Transport; Rail","Fuel oil",0.345
"South Africa","Total energy supply; Total final consumption; Transport; Rail","Gas/diesel oil excl. biofuels",0.345
"South Africa","Total energy supply; Total final consumption; Transport; Rail","Liquefied petroleum gases (LPG)",0.345
"South Africa","Total energy supply; Total final consumption; Transport; Rail","Motor gasoline excl. biofuels",0.345
"South Africa","Total energy supply; Total final consumption; Transport; Pipeline transport","Electricity",0.796416666666667
"Ghana","Total energy supply; Total final consumption; Transport; Domestic navigation","Gas/diesel oil excl. biofuels",0.320480646
"South Africa","Total energy supply; Total final consumption; Transport; Transport not elsewhere specified","Electricity",0.604592592592593
"South Africa","Total energy supply; Total final consumption; Transport; Transport not elsewhere specified","Liquefied petroleum gases (LPG)",0.19885558562699
"South Africa","Total energy supply; Total final consumption; Transport; Transport not elsewhere specified","Other kerosene",0.205492036881811
"Ghana","Total energy supply; Total final consumption; Residential","Electricity",0.116008389168598
"Ghana","Total energy supply; Total final consumption; Residential","Charcoal",0.106971485215152
"Ghana","Total energy supply; Total final consumption; Residential","Liquefied petroleum gases (LPG)",0.0429422164212219
"Ghana","Total energy supply; Total final consumption; Residential","Other kerosene",0.0921881280986199
"Ghana","Total energy supply; Total final consumption; Residential","Primary solid biofuels",0.106971485215152
"South Africa","Total energy supply; Total final consumption; Residential","Electricity",0.234209883337878
"South Africa","Total energy supply; Total final consumption; Residential","Gas works gas",0.17862887130919
"South Africa","Total energy supply; Total final consumption; Residential","Other bituminous coal",0.222078692358461
"South Africa","Total energy supply; Total final consumption; Residential","Charcoal",0.106971485215152
"South Africa","Total energy supply; Total final consumption; Residential","Fuel oil",0.0648731560519576
"South Africa","Total energy supply; Total final consumption; Residential","Gas/diesel oil excl. biofuels",0.44345
"South Africa","Total energy supply; Total final consumption; Residential","Liquefied petroleum gases (LPG)",0.0429422164212219
"South Africa","Total energy supply; Total final consumption; Residential","Motor gasoline excl. biofuels",0.35476
"South Africa","Total energy supply; Total final consumption; Residential","Other kerosene",0.0921881280986199
"South Africa","Total energy supply; Total final consumption; Residential","Primary solid biofuels",0.106971485215152
"Ghana","Total energy supply; Total final consumption; Commercial and public services","Electricity",0.125150300374665
"Ghana","Total energy supply; Total final consumption; Commercial and public services","Liquefied petroleum gases (LPG)",0.111134169207944
"Ghana","Total energy supply; Total final consumption; Commercial and public services","Primary solid biofuels",0.729729282013794
"South Africa","Total energy supply; Total final consumption; Commercial and public services","Electricity",0.125150300374665
"South Africa","Total energy supply; Total final consumption; Commercial and public services","Gas works gas",0.111134169207944
"South Africa","Total energy supply; Total final consumption; Commercial and public services","Other bituminous coal",0.120642867765208
"South Africa","Total energy supply; Total final consumption; Commercial and public services","Fuel oil",0.44345
"South Africa","Total energy supply; Total final consumption; Commercial and public services","Gas/diesel oil excl. biofuels",0.44345
"South Africa","Total energy supply; Total final consumption; Commercial and public services","Liquefied petroleum gases (LPG)",0.111134169207944
"South Africa","Total energy supply; Total final consumption; Commercial and public services","Motor gasoline excl. biofuels",0.35476
"South Africa","Total energy supply; Total final consumption; Commercial and public services","Other kerosene",0.0921881280986199
"Ghana","Total energy supply; Total final consumption; Agriculture/forestry","Primary solid biofuels",0.0474561149004827
"Ghana","Total energy supply; Total final consumption; Agriculture/forestry","Gas/diesel oil excl. biofuels",0.314120436406278
"South Africa","Total energy supply; Total final consumption; Agriculture/forestry","Electricity",0.466463074813101
"South Africa","Total energy supply; Total final consumption; Agriculture/forestry","Other bituminous coal",0.0985215071129937
"South Africa","Total energy supply; Total final consumption; Agriculture/forestry","Fuel oil",0.314120436406278
"South Africa","Total energy supply; Total final consumption; Agriculture/forestry","Gas/diesel oil excl. biofuels",0.314120436406278
"South Africa","Total energy supply; Total final consumption; Agriculture/forestry","Liquefied petroleum gases (LPG)",0.0633686994220096
"South Africa","Total energy supply; Total final consumption; Agriculture/forestry","Motor gasoline excl. biofuels",0.314120436406278
"South Africa","Total energy supply; Total final consumption; Agriculture/forestry","Other kerosene",0.314120436406278
"Ghana","Total energy supply; Total final consumption; Fishing","Motor gasoline excl. biofuels",0.129
"South Africa","Total energy supply; Total final consumption; Fishing","Fuel oil",0.129
"South Africa","Total energy supply; Total final consumption; Fishing","Gas/diesel oil excl. biofuels",0.129
"South Africa","Total energy supply; Total final consumption; Final consumption not elsewhere specified","Electricity",0.125150300374665
